No;Range (mesh);Mean size (µm);Collector dosage (Kg/TOF);Impeller speed (RPM);Recovery (%);Grade (%)
1;16-32;750;0.9;1200;98.18;68.44
2;16-150;553;0.56;1200;92.71;65.36
3;16-32;750;0.78;1200;96.74;65.58
4;32-270;277;0.56;1200;93.27;63.94
5;16-32;750;0.56;1200;94.55;73.83
6;32-270;277;0.78;1200;95.69;62.93
7;16-24;854;0.90;1200;94.19;76.38
8;32-270;277;0.90;1200;95.82;57.3
9;32-270;277;1.12;1200;93.9;52.68
10;32-270;277;0.67;1200;98.13;60.6
11;16-24;854;1.12;1200;97.71;76.91
12;16-150;553;0.78;1200;96.85;57.70
13;16-150;553;0.90;1200;97.56;52.85
14;16-150;553;1.01;1200;97.67;48.5
15;16-32;750;1.12;1200;98.84;64.43
16;16-150;553;0.90;1100;91.21;57.13
17;16-32;750;1.12;1100;96.98;63.12
18;16-150;553;1.12;1100;96.47;58.90
19;16-32;750;0.78;1500;95.48;68.50
20;16-150;553;0.78;1500;66.15;67.67
21;16-150;553;0.90;1500;89.74;58.27
22;16-150;553;1.12;1500;96.20;50.46
23;24-270;380;0.56;1200;78.44;72.64
24;24-270;380;0.90;1200;94.06;62.71
25;24-270;380;0.78;1200;97.68;57.17
26;150-270;79;0.67;1200;68.51;77.53
27;24-270;380;1.12;1200;95.27;56.41
28;24-270;380;0.90;1100;97.77;58.39
29;24-270;380;1.12;1100;97.68;56.07
30;24-270;380;0.78;1100;92.99;70.24
31;24-270;380;0.90;1500;82.99;64.29
32;24-270;380;1.12;1500;92.54;64.37
33;16-150;553;0.78;1100;97.17;53.64
34;16-32;750;0.90;1100;98.47;65.18
35;24-270;380;0.78;1500;97.49;75.22
